Genre,log_sales,Year,Platform
Role-Playing,2.50715725872282,1996.0,GB
Simulation,2.309560706730471,2005.0,DS
Role-Playing,2.302585092994046,1999.0,GB
Action,2.080690761080268,2013.0,PS3
Action,2.344686269012681,2004.0,PS2
Role-Playing,2.004179057179289,2006.0,DS
Action,2.363680192353857,2013.0,X360
Action,2.2417729535972883,2002.0,PS2
Role-Playing,1.9544450515051506,2002.0,GBA
Role-Playing,1.8825138324965192,2010.0,DS
Role-Playing,1.9300710850255671,1998.0,GB
Role-Playing,1.8196988379172965,2013.0,3DS
Action,2.0781907597781832,2001.0,PS2
Simulation,1.2669476034873244,2005.0,DS
Action,1.5686159179138452,2014.0,PS4
Action,1.6863989535702288,2009.0,DS
Role-Playing,1.6544112780768316,2014.0,3DS
Action,2.048982334195127,2008.0,X360
Action,1.7509374747078,2008.0,PS3
Role-Playing,1.6752256529721035,2004.0,GBA
Role-Playing,1.3887912413184778,1997.0,PS
Simulation,1.1019400787607843,2012.0,3DS
Role-Playing,1.7967470107390942,2011.0,X360
Role-Playing,1.3635373739972745,2012.0,DS
Action,0.7227059828014898,2012.0,PS3
Simulation,0.6830968447064438,2009.0,PC
Role-Playing,1.3635373739972745,2001.0,PS2
Role-Playing,1.1878434223960523,1999.0,PS
Role-Playing,1.3402504226184837,2008.0,DS
Action,1.3609765531356006,2005.0,PSP
Action,1.62924053973028,1998.0,N64
Action,1.5748464676644813,2006.0,Wii
Role-Playing,1.244154593958768,2015.0,PS4
Action,1.3270750014599193,2011.0,PS3
Action,1.451613827240533,2009.0,PS3
Action,1.332366019094335,2010.0,PS3
Role-Playing,1.2669476034873244,2011.0,PS3
Action,1.2919836816486494,2012.0,PS3
Role-Playing,1.2725655957915476,2004.0,GBA
Role-Playing,1.534714366238164,2002.0,PS2
Role-Playing,1.2669476034873244,2000.0,GB
Action,1.547562508716013,2010.0,X360
Role-Playing,0.06765864847381481,2004.0,PC
Action,1.413423028508143,1999.0,PS
Action,1.2383742310432684,2001.0,PS2
Action,1.2892326482767593,2008.0,PS3
Action,1.430311246536665,1998.0,PS
Action,1.2267122912954254,2013.0,PS3
Role-Playing,1.0577902941478545,2006.0,PS2
Role-Playing,0.5068176023684519,2009.0,DS
Action,1.5390154481375546,2007.0,Wii
Action,1.0577902941478545,1998.0,PS
Simulation,1.4182774069729414,2006.0,DS
Action,1.264126727145683,2009.0,PS3
Action,1.308332819650179,2011.0,PS3
Role-Playing,0.3852624007906449,2008.0,PSP
Role-Playing,1.007957920399979,2009.0,PS3
Action,1.4182774069729414,2012.0,X360
Role-Playing,0.9631743177730056,2000.0,PS
Role-Playing,1.0715836162801904,2003.0,PS2
Action,1.410986973710262,2009.0,X360
Action,1.1939224684724346,1997.0,PS
Role-Playing,0.5007752879124893,2004.0,PS2
