Genre,log_sales,Year,Platform
Role-Playing,0.6931471805599453,1996.0,GB
Simulation,1.3217558399823195,2005.0,DS
Role-Playing,0.5364933705145685,1999.0,GB
Action,1.6370530794670737,2013.0,PS3
Action,2.448415541205585,2004.0,PS2
Role-Playing,0.8628899551470398,2006.0,DS
Action,0.8671004876833833,2013.0,X360
Action,1.0224509277025458,2002.0,PS2
Role-Playing,0.4054651081081644,2002.0,GBA
Role-Playing,0.598836501088704,2010.0,DS
Role-Playing,0.4637340162321401,1998.0,GB
Role-Playing,0.5822156198526637,2013.0,3DS
Action,0.832909122935104,2001.0,PS2
Simulation,0.6312717768418579,2005.0,DS
Action,1.1052568313867783,2014.0,PS4
Action,0.5709795465857378,2009.0,DS
Role-Playing,0.5007752879124893,2014.0,3DS
Action,0.708035793053696,2008.0,X360
Action,0.9631743177730056,2008.0,PS3
Role-Playing,0.3001045924503381,2004.0,GBA
Role-Playing,0.6729444732424258,1997.0,PS
Simulation,0.3435897043900769,2012.0,3DS
Role-Playing,0.6151856390902334,2011.0,X360
Role-Playing,0.35767444427181594,2012.0,DS
Action,1.1019400787607843,2012.0,PS3
Simulation,0.5364933705145685,2009.0,PC
Role-Playing,0.2851789422336624,2001.0,PS2
Role-Playing,0.20701416938432615,1999.0,PS
Role-Playing,0.4382549309311553,2008.0,DS
Action,1.0116009116784799,2005.0,PSP
Action,0.1484200051182733,1998.0,N64
Action,0.5306282510621704,2006.0,Wii
Role-Playing,0.7419373447293773,2015.0,PS4
Action,0.7227059828014898,2011.0,PS3
Action,0.6931471805599453,2009.0,PS3
Action,0.708035793053696,2010.0,PS3
Role-Playing,0.7178397931503169,2011.0,PS3
Action,0.76080582903376,2012.0,PS3
Role-Playing,0.19062035960864973,2004.0,GBA
Role-Playing,0.06765864847381481,2002.0,PS2
Role-Playing,0.688134638736401,2000.0,GB
Action,0.4510756193602166,2010.0,X360
Role-Playing,0.0,2004.0,PC
Action,0.2851789422336624,1999.0,PS
Action,0.5423242908253617,2001.0,PS2
Action,0.6043159668533294,2008.0,PS3
Action,0.2151113796169455,1998.0,PS
Action,0.6981347220709844,2013.0,PS3
Role-Playing,1.007957920399979,2006.0,PS2
Role-Playing,0.1397619423751587,2009.0,DS
Action,0.4252677354043441,2007.0,Wii
Action,0.37156355643248307,1998.0,PS
